frame,id_a,id_b,dist,jerk_ab,wrist_spd_ab,head_spd_ab,cos_sim_ab,jerk_ba,wrist_spd_ba,head_spd_ba,cos_sim_ba
159,4,3,437.7,5.5,2.8,1.3,-0.491,13.9,21.8,4.5,-0.955
160,4,3,438.9,5.5,4.4,1.2,-0.487,6.5,18.3,2.4,-0.707
161,4,3,440.5,5.5,2.5,1.8,0.86,6.5,12.9,1.6,0.043
162,4,3,437.6,5.5,5.0,4.5,0.826,4.9,9.6,1.4,0.981
163,4,3,441.0,5.5,5.6,3.7,0.318,10.7,8.6,2.8,0.599
164,4,3,442.8,5.2,2.4,3.4,-0.486,10.7,11.8,0.3,-0.009
165,4,3,443.6,5.2,3.9,5.1,-0.016,18.5,34.6,1.6,0.585
166,4,3,447.6,6.3,9.4,11.3,0.96,18.5,56.7,3.1,-0.047
168,3,4,441.2,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0
169,3,4,437.4,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0
170,3,4,429.9,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0
171,3,4,429.1,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0
173,3,4,422.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0
174,3,4,424.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0
175,3,4,424.2,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0
176,3,4,425.1,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0
177,3,4,420.8,12.4,2.8,5.0,0.559,52.4,54.8,1.0,-0.932
178,3,4,423.4,12.4,5.4,7.2,1.0,87.6,29.8,4.9,-0.262
179,3,4,428.7,12.3,5.2,7.5,0.809,87.6,25.1,2.8,-0.067
180,3,4,427.9,12.3,1.6,4.3,-0.659,98.5,18.7,4.2,-0.051
181,3,4,427.9,9.9,5.8,5.4,0.909,98.5,3.1,4.4,-0.696
182,3,4,427.8,9.9,8.5,6.2,0.644,98.5,10.7,6.4,-0.822
183,3,4,430.0,10.0,17.9,9.0,-0.404,98.5,13.6,7.3,0.016
184,3,4,431.7,10.0,34.2,9.2,-0.708,98.5,8.2,9.7,-0.771
189,4,3,397.1,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0
190,4,3,392.6,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0
191,4,3,393.5,0.0,0.0,0.0,0.0,0.0,0.0,12.1,0.0
192,4,3,383.8,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
193,4,3,377.0,18.4,6.4,3.9,0.709,10.0,10.8,12.5,0.708
194,4,3,368.0,18.4,9.9,5.8,0.93,10.0,11.7,7.8,0.414
195,4,3,362.3,18.4,12.6,6.2,0.992,10.0,12.2,8.0,0.579
196,4,3,353.8,18.4,4.7,10.0,0.961,10.0,11.3,5.9,0.421
197,4,3,343.3,12.3,7.7,6.7,0.293,73.4,73.3,4.1,0.864
198,4,3,342.2,14.5,1.4,3.5,-0.283,105.9,40.9,2.7,0.878
199,4,3,337.4,14.5,9.9,6.6,0.033,105.9,21.8,6.0,0.17
200,4,3,337.5,14.5,12.0,3.4,0.037,105.9,16.5,6.5,-0.32
201,4,3,340.6,14.5,5.8,5.4,-0.645,105.9,18.4,6.1,-0.41
202,4,3,339.9,14.5,3.5,5.5,0.978,105.9,13.4,3.1,-0.756
203,4,3,338.1,11.2,6.4,6.0,0.998,39.5,21.9,1.9,0.251
204,4,3,338.5,9.0,3.2,5.1,0.972,50.3,12.4,1.3,-0.997
205,4,3,342.5,8.4,2.9,5.3,0.808,58.3,16.9,1.4,0.966
206,4,3,341.6,6.6,1.6,2.5,0.4,58.3,10.9,2.1,0.839
207,4,3,342.0,6.6,5.7,3.3,-0.26,58.3,4.6,1.7,0.937
208,4,3,344.1,9.3,3.2,4.9,0.924,58.3,10.2,3.5,0.905
209,4,3,344.4,9.3,5.8,5.0,1.0,58.3,8.3,4.4,0.886
210,4,3,345.9,9.3,4.1,6.2,0.998,42.4,5.9,4.5,0.971
211,4,3,346.7,9.3,4.9,7.1,0.93,12.1,4.6,5.0,0.926
212,4,3,345.1,9.6,3.7,5.0,0.946,10.3,4.9,3.9,0.482
213,4,3,344.3,9.6,1.7,7.6,0.998,12.3,6.9,6.7,0.973
214,4,3,345.1,9.6,6.3,7.9,0.703,12.3,7.5,6.2,0.924
215,4,3,344.1,20.9,10.7,3.5,-0.932,63.0,71.8,5.0,0.233
216,4,3,343.9,31.7,5.3,2.0,-0.665,121.0,21.1,1.1,0.875
217,4,3,345.0,31.7,3.5,2.5,0.293,121.0,18.8,2.2,0.902
218,4,3,345.6,31.7,8.0,3.4,0.782,121.0,14.6,1.1,0.283
219,4,3,343.0,31.7,4.9,1.7,0.921,121.0,18.4,3.5,-0.472
220,4,3,340.8,31.7,10.4,2.4,-0.207,121.0,15.0,2.8,-0.752
221,4,3,337.8,17.2,5.0,2.0,-0.785,53.8,21.7,2.2,0.016
222,4,3,333.7,13.0,8.3,3.3,0.829,53.9,17.2,5.1,-0.99
223,4,3,335.4,13.0,4.1,4.4,0.997,46.8,7.9,4.4,-0.868
224,4,3,329.2,13.0,2.0,5.6,0.728,46.8,15.6,3.7,0.41
235,4,3,334.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,4,3,339.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
237,4,3,340.4,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0
238,4,3,342.6,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0
239,4,3,343.2,11.4,3.4,4.1,0.993,17.0,2.1,6.6,0.862
240,4,3,346.2,11.4,7.6,2.5,0.241,25.5,18.0,5.5,-0.623
241,4,3,347.3,19.1,4.6,1.4,0.511,50.1,11.5,4.9,0.565
242,4,3,347.4,19.9,4.9,5.3,0.723,50.1,9.6,3.8,0.989
243,4,3,348.6,19.9,2.9,2.1,0.723,50.1,12.4,3.5,-0.962
244,4,3,349.2,19.9,1.4,1.0,0.722,50.1,7.4,1.6,-0.914
245,4,3,348.1,19.9,5.0,4.9,0.936,50.1,15.3,6.3,0.996
246,4,3,347.4,19.9,11.9,8.5,0.716,34.0,4.3,9.9,0.786
247,4,3,343.2,20.4,9.5,10.2,0.947,34.0,2.6,11.5,0.961
248,4,3,342.4,20.4,9.3,8.0,0.617,34.0,1.8,4.4,-0.745
249,4,3,340.0,20.4,2.0,6.3,0.583,31.5,13.0,3.3,-0.976
250,4,3,337.3,20.4,6.3,8.3,0.429,31.5,8.5,6.5,-0.614
251,4,3,326.3,20.4,5.5,5.8,0.357,21.6,12.0,8.6,-0.185
252,4,3,324.6,11.7,4.7,1.4,-0.362,23.0,15.2,3.7,0.009
273,4,3,256.1,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0
274,4,3,272.8,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0
275,4,3,293.6,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
276,4,3,313.7,0.0,0.0,0.0,0.0,0.0,0.0,42.6,0.0
277,4,3,418.9,115.8,81.2,38.6,0.996,118.4,36.4,62.2,0.761
278,4,3,436.4,115.8,63.6,40.8,0.997,118.4,39.0,63.2,0.973
279,4,3,452.1,115.8,38.1,42.2,0.996,118.4,44.5,65.2,1.0
280,4,3,473.1,115.8,38.6,45.3,0.24,118.4,51.2,72.3,1.0
