frame,tracker_id,dy_norm,ar,crumple,torso_lean,bbox_w,bbox_h
210,4,0.0008,0.338,0.3548,0.24,443.3,1312.7
211,3,-0.0011,0.343,0.374,0.98,444.1,1293.1
211,4,-0.0002,0.343,0.3448,0.24,451.3,1316.6
212,3,-0.0008,0.351,0.3778,1.48,454.5,1293.7
212,4,-0.0004,0.338,0.346,0.49,445.4,1319.5
213,3,0.0013,0.351,0.3821,1.23,452.3,1288.6
213,4,0.0014,0.337,0.3529,0.73,444.4,1316.9
214,3,0.0043,0.355,0.3725,0.75,454.8,1282.2
214,4,0.0035,0.344,0.357,0.73,451.3,1313.0
215,3,0.0047,0.37,0.3714,1.23,474.7,1283.8
215,4,0.0043,0.351,0.353,0.96,460.0,1311.4
216,3,0.0031,0.351,0.3672,0.24,451.1,1284.6
216,4,0.0025,0.323,0.345,1.93,424.9,1316.3
217,4,0.0006,0.347,0.3494,1.42,455.3,1312.4
217,3,0.0015,0.282,0.3656,0.24,360.8,1281.0
218,4,-0.0007,0.347,0.3451,1.7,455.9,1314.2
218,3,0.0013,0.285,0.3605,0.71,364.5,1279.0
219,4,-0.0006,0.361,0.3479,1.44,474.1,1312.4
219,3,0.0014,0.295,0.3594,1.41,377.6,1278.0
220,3,0.0012,0.313,0.3585,1.88,400.5,1279.1
220,4,0.0002,0.344,0.3469,1.71,449.4,1308.2
221,3,0.0002,0.327,0.3609,2.34,418.7,1278.7
221,4,0.0002,0.345,0.3471,2.42,448.5,1300.5
222,3,0.0005,0.314,0.3582,2.36,400.6,1276.6
222,4,0.0013,0.342,0.3434,2.44,446.9,1306.1
223,4,0.0021,0.341,0.3478,2.42,442.4,1298.9
223,3,0.0012,0.307,0.3533,3.81,390.8,1272.8
224,4,0.0032,0.338,0.3472,2.42,439.6,1300.1
224,3,0.0027,0.355,0.3567,4.07,447.2,1261.5
225,4,0.0031,0.328,0.3456,2.41,425.2,1298.1
226,3,0.0,0.0,0.0,0.0,600.6,1267.8
227,3,0.0,0.0,0.0,0.0,621.8,1264.1
228,3,0.0,0.0,0.0,0.0,626.2,1263.1
229,3,0.0032,0.494,0.3438,7.33,622.5,1259.6
230,3,0.0024,0.473,0.3402,7.45,596.5,1259.9
231,3,-0.0008,0.464,0.3352,7.1,584.3,1258.2
232,4,0.0,0.0,0.0,0.0,449.0,1269.7
233,4,0.0,0.0,0.0,0.0,458.1,1302.5
234,4,0.0,0.0,0.0,0.0,466.8,1292.8
235,4,-0.0056,0.366,0.3379,1.41,469.4,1281.3
235,3,0.0,0.0,0.0,0.0,412.4,1259.6
236,4,-0.003,0.368,0.3416,0.71,471.2,1279.2
236,3,0.0,0.0,0.0,0.0,415.3,1243.1
237,4,-0.0011,0.371,0.3458,0.93,474.6,1278.4
237,3,0.0,0.0,0.0,0.0,416.9,1255.2
238,4,-0.0007,0.371,0.3457,0.93,474.2,1276.7
238,3,0.0004,0.336,0.3388,9.03,422.0,1255.8
239,4,-0.0011,0.37,0.3423,0.24,474.0,1282.6
239,3,-0.0004,0.343,0.3396,9.0,429.3,1253.5
240,4,-0.0017,0.371,0.3395,0.24,480.1,1293.1
240,3,-0.001,0.358,0.3424,9.62,448.0,1252.7
241,4,-0.0016,0.371,0.3436,0.94,474.3,1279.4
241,3,-0.0013,0.368,0.341,11.08,462.1,1255.4
242,3,-0.0016,0.365,0.3421,11.85,456.7,1251.9
242,4,-0.0023,0.364,0.3343,1.68,474.6,1302.2
243,4,-0.0018,0.364,0.3332,1.93,473.9,1302.3
243,3,-0.0017,0.362,0.3385,11.95,453.8,1254.9
244,4,-0.0011,0.365,0.3383,2.62,475.0,1301.7
244,3,-0.0015,0.365,0.3477,13.1,457.1,1252.1
245,4,0.0014,0.369,0.3491,3.28,474.2,1284.1
245,3,0.0007,0.378,0.3486,13.7,472.2,1250.2
246,4,0.0043,0.367,0.3538,3.0,469.4,1277.9
246,3,0.0033,0.385,0.3572,14.65,474.5,1233.9
247,4,0.0062,0.363,0.3539,3.95,465.5,1281.3
247,3,0.0059,0.373,0.3593,15.02,462.8,1239.2
248,4,0.0056,0.355,0.3491,3.53,459.4,1293.4
248,3,0.0067,0.384,0.3513,15.38,476.4,1239.9
249,3,0.0063,0.386,0.3457,16.43,477.9,1237.7
249,4,0.0039,0.351,0.3497,3.52,454.2,1295.5
250,4,0.0034,0.348,0.3539,3.74,449.0,1288.6
250,3,0.006,0.42,0.3456,16.95,515.0,1226.6
251,4,0.0032,0.344,0.3508,3.3,442.8,1286.4
251,3,0.0055,0.407,0.3404,15.82,497.4,1223.1
252,4,0.002,0.34,0.3468,3.31,438.6,1290.0
252,3,0.0036,0.443,0.3291,14.57,551.8,1245.1
253,4,-0.0005,0.342,0.3424,3.34,441.6,1291.6
254,3,0.0,0.0,0.0,0.0,759.0,1226.7
255,3,0.0,0.0,0.0,0.0,761.0,1135.2
256,3,0.0,0.0,0.0,0.0,541.3,819.0
257,3,0.0243,0.581,0.3804,7.18,480.1,825.7
258,4,0.0,0.0,0.0,0.0,341.5,958.5
259,3,0.0,0.0,0.0,0.0,385.4,823.7
260,4,0.0,0.0,0.0,0.0,377.5,968.6
261,4,0.0,0.0,0.0,0.0,413.3,959.8
262,3,0.0,0.0,0.0,0.0,366.9,816.7
263,3,0.0,0.0,0.0,0.0,356.7,825.6
264,3,0.0,0.0,0.0,0.0,376.8,825.2
265,4,0.0,0.0,0.0,0.0,375.0,953.2
266,4,0.0,0.0,0.0,0.0,371.0,937.7
267,3,0.0,0.0,0.0,0.0,389.1,818.2
268,4,0.0,0.0,0.0,0.0,347.2,935.5
269,4,0.0,0.0,0.0,0.0,325.4,929.4
270,4,0.0,0.0,0.0,0.0,332.2,936.3
271,4,0.0042,0.349,0.3249,3.86,329.2,942.5
272,4,-0.0002,0.337,0.332,4.69,318.9,945.0
273,3,0.0,0.0,0.0,0.0,534.2,992.7
273,4,-0.0012,0.441,0.3327,7.1,410.6,931.0
274,3,0.0,0.0,0.0,0.0,639.1,1084.5
274,4,-0.0006,0.358,0.3536,10.82,322.3,900.1
275,3,0.0,0.0,0.0,0.0,691.4,1174.6
275,4,0.0085,0.34,0.4029,13.58,285.8,840.7
276,3,0.0208,0.558,0.3086,18.08,680.3,1218.5
276,4,0.0259,0.386,0.4053,13.88,299.6,777.1
277,3,0.0258,0.57,0.3168,16.92,776.8,1364.0
277,4,0.0389,0.45,0.3085,13.09,401.1,890.5
278,3,0.0293,0.589,0.3095,20.01,779.4,1323.9
278,4,0.0575,0.608,0.2629,17.86,500.1,823.0
279,3,0.0314,0.606,0.3017,22.89,777.7,1282.8
279,4,0.0683,0.632,0.2156,24.11,513.4,812.3
280,3,0.0343,0.638,0.2817,28.54,791.3,1241.2
280,4,0.0738,0.612,0.1425,33.69,528.4,863.9
281,3,0.0382,0.674,0.2504,36.64,802.2,1191.1
281,4,0.0795,0.595,0.0975,50.53,521.6,876.1
282,3,0.0409,0.713,0.2071,43.98,820.1,1149.9
283,3,0.0408,0.75,0.1596,52.28,836.5,1115.3
284,3,0.0404,0.791,0.1227,63.43,828.2,1046.5
285,3,0.0391,0.846,0.0853,66.59,824.6,975.2
286,3,0.0378,0.875,0.0391,70.9,799.4,913.5
287,3,0.0314,0.921,0.0,77.15,782.6,850.2
287,4,0.0,0.0,0.0,0.0,512.7,781.6
288,3,0.0226,0.959,0.0,75.76,777.2,810.5
288,4,0.0,0.0,0.0,0.0,500.4,733.5
289,3,0.0147,0.974,0.0,75.82,766.3,786.6
289,4,0.0,0.0,0.0,0.0,652.3,699.0
290,3,0.0076,0.995,0.0,76.78,761.9,765.8
291,3,-0.0006,0.976,0.0,76.18,731.4,749.0
291,4,0.0,0.0,0.0,0.0,655.1,710.0
292,3,-0.0123,0.985,0.0,79.59,720.2,731.1
293,3,-0.019,0.981,0.0,82.51,707.3,720.7
293,4,0.0,0.0,0.0,0.0,540.6,747.5
294,3,-0.0225,0.909,0.0,83.36,644.1,708.2
294,4,0.0,0.0,0.0,0.0,547.9,775.4
295,3,-0.0235,0.91,0.0,82.99,641.2,704.9
295,4,0.0,0.0,0.0,0.0,576.1,820.1
296,3,-0.0237,0.992,0.0,80.49,701.2,706.6
296,4,-0.1919,0.761,0.0,149.33,645.0,847.4
297,3,-0.0218,0.929,0.0,78.55,661.5,712.1
297,4,-0.3109,0.688,0.0051,152.95,593.5,863.1
298,3,-0.0201,0.918,0.0,75.04,660.4,719.6
298,4,-0.1832,0.837,0.0,152.77,683.9,816.9
299,3,-0.0197,0.944,0.0,74.74,686.7,727.2
299,4,-0.1036,0.743,0.0,153.4,643.9,867.1
300,3,-0.0178,0.948,0.0,74.37,694.0,732.0
300,4,-0.0641,0.768,0.2282,153.23,645.7,840.7
301,3,-0.0158,0.932,0.0,72.57,686.8,737.0
301,4,-0.2598,0.768,0.0,150.55,653.9,851.9
302,3,-0.0136,0.918,0.0,73.07,682.3,743.3
302,4,-0.1572,0.767,0.0,150.7,647.9,844.8
303,3,-0.0121,0.924,0.0,71.77,692.6,749.6
303,4,-0.0945,0.751,0.0,150.14,633.3,843.1
304,3,-0.0087,0.923,0.0,72.1,695.4,753.5
304,4,-0.0564,0.747,0.0,150.23,633.0,846.9
305,3,-0.0049,0.933,0.0,72.29,702.6,752.8
305,4,0.16,0.748,0.0,150.88,629.2,841.5
306,3,-0.004,0.933,0.0,71.82,704.5,755.1
306,4,0.0954,0.747,0.0,150.28,633.2,847.1
307,3,-0.0034,0.939,0.0,72.29,711.6,758.1
308,3,-0.0045,0.946,0.0,72.55,720.5,761.6
308,4,0.0,0.0,0.0,0.0,634.1,858.1
309,3,-0.0029,0.959,0.0,73.82,736.1,767.6
309,4,0.0,0.0,0.0,0.0,634.9,607.2
310,3,0.0003,0.895,0.0,72.08,693.4,774.9
310,4,0.0,0.0,0.0,0.0,663.0,613.7
311,3,0.0078,0.862,0.0,73.01,670.5,777.6
311,4,0.0,1.069,0.0,153.18,690.6,645.9
312,3,0.0116,0.864,0.0,73.5,674.0,779.9
312,4,0.3049,1.04,0.0,153.38,685.9,659.6
313,3,0.0083,0.889,0.0,73.06,693.7,780.0
313,4,0.4474,1.013,0.0,146.82,661.1,652.4
314,3,0.0001,0.902,0.0,71.95,705.0,781.6
314,4,0.2685,0.981,0.0,146.25,640.0,652.3
315,3,-0.0043,0.9,0.0,72.33,705.6,784.1
315,4,-0.144,0.965,0.0,151.73,643.5,667.0
316,3,-0.005,0.907,0.0,74.28,713.5,786.7
316,4,-0.3577,0.997,0.0,146.14,637.9,639.8
317,3,-0.0046,0.92,0.0,74.11,725.1,788.2
317,4,-0.2053,0.948,0.0,145.79,633.8,668.8
318,3,-0.0058,0.927,0.0,75.57,736.2,794.2
318,4,-0.1213,0.918,0.0,145.46,623.5,679.1
319,3,-0.0055,0.92,0.0,75.24,738.4,802.6
319,4,-0.0742,0.923,0.0,145.23,614.9,666.3
320,3,-0.0058,0.919,0.0,74.98,745.6,811.0
320,4,-0.0458,0.953,0.0,144.55,616.4,647.1
